key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-developer-01,true,"UserIdentity{name: 'Dev1', surname: 'developer1', email: 'developer1@acme.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'Dev2', surname: 'developer2', email: 'developer2@acme.com'}",developer2,developer2
user-account-sponsor-01,true,"UserIdentity{name: 'Sponsor1', surname: 'sponsor1', email: 'sponsor1@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Sponsor2', surname: 'sponsor2', email: 'sponsor2@acme.com'}",sponsor2,sponsor2
user-account-client-01,true,"UserIdentity{name: 'Client1', surname: 'client1', email: 'email@ejemplo.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'Client2', surname: 'client2', email: 'email@ejemplo2.com'}",client2,client2
user-account-auditor-01,true,"UserIdentity{name: 'Auditor1', surname: 'auditor1', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor2', surname: 'auditor2', email: 'auditor2@acme.com'}",auditor2,auditor2
